id,ISSN,CN,name1,name2,oldname,category1,category2,cIF,sIF,publishNO,downNO,citeNO,evaluation,organizer,location,frequency,language,format,postalcode,firstissue,status,jurl
5843,1007-9076,14-1206/I,民间传奇故事(A卷),Romaunt,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,11553,125306,56,-,山西省民间文艺家协会,山西省太原市,月刊,中文,16开,22-59,1981,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MJCQ/detail'>Link</a>
5844,1003-255X,13-1055/I,民间故事选刊,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,1300,5627,-99,-,河北省文学艺术界联合会,河北省石家庄,半月,中文,16开,-,1984,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MJGS/detail'>Link</a>
5845,0540-1151,11-1085/I,民间文学(故事),The Magazine of Folk Literature(Story),民间文学(经典),哲学与人文科学,哲学与人文科学,-99.99,-99.99,5107,54912,26,-,中国民间文艺家协会,北京市,月刊,中文,16开,-,1954,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MJWX/detail'>Link</a>
5846,-,35(Q)第0105,闽商文化研究,Journal of Studies on Fujianese Entrepreneurs Culture,-,经济与管理科学；哲学与人文科学,文化；贸易经济,-99.99,-99.99,401,31822,195,-,福州大学闽商文化研究院,福建省福州市,半年,中文,16开,-,2010,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MSWH/detail'>Link</a>
5847,-,-,民俗典籍文字研究,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,393,39896,300,CSSCI来源集刊,北京师范大学民俗典籍文字研究中心,北京市,半年,中文,16开,-,2004,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MSDJ/detail'>Link</a>
5848,-,35(Q)第0081,闽台文化研究,Fujian-Taiwan Cultural Research,闽台文化交流,哲学与人文科学,文化,-99.99,-99.99,1593,142100,1394,-,闽南师范大学闽南文化研究院;福建省社会科学研究基地闽南文化研究中心,福建省漳州市,季刊,中文,大16开,34-101,2005,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MTWH/detail'>Link</a>
5849,-,35(Q)第0102,闽台缘,-,-,哲学与人文科学,中国民族与地方史志,-99.99,-99.99,159,8162,23,-,福建省中国闽台缘博物馆,福建省泉州市,季刊,中文,大16开,-,2016,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MTYY/detail'>Link</a>
5850,2096-5257,10-1531/G1,民艺,Folk Art,-,哲学与人文科学,美术书法雕塑与摄影,-99.99,-99.99,1001,94648,477,-,中国民间文艺家协会,北京市,双月,中文,大16开,82-186,2018,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MYZG/detail'>Link</a>
5851,0540-1224,11-1548/Z,民族画报(汉文版),-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,828,9405,31,-,民族画报社,北京市,月刊,中文,8开,2-92,1955,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MZHB/detail'>Link</a>
5852,1007-8592,43-1009/C,民族论坛(时政版),Nationalities Forum,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,764,13670,172,-,湖南省民族事务委员会,湖南省长沙市,月刊,中文,16开,12-223,1983,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MZUL/detail'>Link</a>
5853,1009-8798,65-1217/I,民族文汇,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,472,1809,-99,-,新疆民间文艺家协会,新疆维吾尔自治区乌鲁木齐市,双月,中文,16开,-,2020,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MZHW/detail'>Link</a>
5854,0257-2850,11-1463/I,民族文学,National Literature,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,12555,225673,2663,核心期刊,中国作家出版集团,北京市,月刊,中文,16开,2-206,1981,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MZWU/detail'>Link</a>
5855,-,-,民族遗产,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,27,3963,90,-,中央民族大学少数民族语言文学学院,北京市,-,中文,-,-,9999,停刊,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MZYC/detail'>Link</a>
5856,1003-2584,64-1011/J,民族艺林,Journal of Ethnic Art,-,社会科学2；哲学与人文科学,文化；民族学,-99.99,-99.99,1015,122998,836,-,宁夏民族艺术研究所,宁夏回族自治区银川市,季刊,中文,大16开,-,1984,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MZYL/detail'>Link</a>
5857,1671-2196,53-1202/J,民族音乐,National Music,云岭歌声,哲学与人文科学,音乐舞蹈,-99.99,-99.99,11534,577456,6994,-,云南省文化馆,云南省昆明市,双月,中文,大16开,64-8,1975,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/YLGS/detail'>Link</a>
5858,-,-,民族史文丛,Collection of Ethnic History Studies,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,13,577,5,-,西北民族大学社会科学研究院,北京市,半年,中文,16开,-,2019,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MZSW/detail'>Link</a>
5859,-,-,民族史研究,Ethnic History Studies,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,408,49815,440,-,中央民族大学历史文化学院,北京市,年刊,中文,32开,-,1999,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MZSY/detail'>Link</a>
5860,1003-3459,41-1059/I,牡丹,Peony,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,16432,425482,1368,-,洛阳市文学艺术界联合会,河南省洛阳市,半月,中文,16开,36-14,1957,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/MDAN/detail'>Link</a>
5861,1672-0401,22-1221/F,南北桥(国学),-,国学,哲学与人文科学,中国文学,-99.99,-99.99,3227,310038,742,-,南北桥杂志社,吉林省长春市,月刊,中文,大16开,-,2007,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/GUOX/detail'>Link</a>
